image_hex_string	actual	base_prediction	corrupting_pixels
0x3f00000ff80001c1c000180e000180600000060000006000000e000001c00000f800001f8000001c000000c000000c000000c000000c000001c0000018000027800001e00000000000000000	3	3	(19, 9);(19, 10);(19, 11);(20, 11);(19, 12);(19, 13);(20, 13)
0x3800001ffc0003e0f8001800e0000007000001f800001e0000018000000e000000300000018000001c000007c00003f00000fc00000e00000000000000000000000000000000000000	3	3	(15, 6);(15, 7);(21, 12);(17, 13);(18, 13);(19, 13);(16, 14);(17, 14);(18, 14);(19, 14);(21, 14);(16, 15);(17, 15);(18, 15);(21, 15);(17, 16);(18, 16);(21, 16)
0x400000180006030000e060003c04000601800180100030030002006000301c0001ff800000300000020000006000000c0000018000001800000100000000000000000000000000000000	4	4	(9, 15);(9, 16)
0x3c00001fe00003e60000780800078380003e700000fe000007e000001c000001c000003c000007c000007c00000fc00000d800001f800001f000001f000001e000001c000000000000000000000000	8	8	(8, 7);(9, 7);(8, 8);(9, 8);(10, 15);(22, 15)
0x3000000200000060000004000000c3ff80087ff801e40f001a0070030007003001c0070038007007000781c0007de00003fe0000078000000000000000000000000000000000000000000000	6	0	(14, 7);(15, 7);(16, 7);(14, 10);(12, 11);(13, 11);(14, 11);(15, 11);(13, 12);(14, 12);(15, 12);(13, 13);(14, 13);(15, 13);(16, 13);(10, 14);(14, 14);(15, 14);(16, 14);(10, 15);(14, 15);(15, 15);(10, 16);(14, 16);(15, 16);(15, 20);(13, 21);(14, 21);(13, 22)
0xe000007f00000ff80001e780001c780003870000387000038e00003fe00003fc00001dc000001c000001c00004380000638000067800007f800007f000003e0000018000000000000000000000000	9	9	(17, 8);(18, 8);(17, 9);(17, 10);(18, 10);(17, 11);(18, 11);(17, 12);(18, 12);(21, 17);(21, 19)
0xffe2000ffff0007fff00007fc00007c00000f000000fc000007f800003ff000007fc00000fe000000f000000f000c03f001c3fe001fffc001ffc0000780000000000000000000000000000000	3	5	(5, 8);(11, 8);(9, 9);(10, 9);(11, 9);(12, 9);(9, 10);(10, 10);(11, 10);(12, 10);(9, 11);(12, 11);(13, 11);(13, 12);(11, 13);(10, 14);(11, 14);(11, 15);(12, 15);(10, 16);(11, 16);(12, 16);(10, 17);(11, 17);(12, 17);(7, 18);(8, 18);(10, 18);(11, 18);(12, 18);(7, 19);(8, 19);(11, 19);(12, 19);(11, 20);(12, 20);(11, 21);(12, 21);(11, 22);(11, 23)
0x8000000808000081c0001830000187000018e000018c00000d8000007800000700000070000006000000e000001c00000180000038000003000000300000020000003000000000000000000	4	4	(11, 11);(12, 11);(13, 12)
0x7e00001fff800180780000038000007000000e000001c0000038000007ff00007ffc000700e0000006000000e000001c0001ff80000080000000000000000000000000000000000000	3	3	(18, 7);(19, 7);(18, 8);(19, 8);(18, 9);(19, 9);(20, 9);(18, 10);(19, 10);(20, 10);(18, 11);(19, 11);(20, 11);(19, 12);(20, 12);(15, 13);(16, 13);(19, 13);(20, 13);(11, 14);(12, 14);(15, 14);(16, 14);(20, 14);(15, 15);(17, 15);(18, 15);(20, 15);(17, 16);(17, 17);(12, 19);(12, 20);(19, 20);(20, 20);(12, 21);(13, 21);(12, 22);(12, 23);(13, 23);(14, 23)
0x18000007c00000e60000182000018a000030c000021c000061c000061c0000c3c0000e7c00007cc000038c000000c000000c000000c000000c000000e0000006000000600000000000000000000000	9	9	(6, 16)
0xf800001ce0000183000008080000c0c00006040000304000018400000c4000000400001ec00000fc000001e000001b0000019000003180000318000031800001f000000e00000000000000000000000	8	3	(10, 8);(11, 8);(18, 8);(19, 8);(11, 9);(18, 9);(19, 9);(20, 9);(12, 10);(18, 10);(19, 10);(20, 10);(18, 11);(19, 11);(20, 11);(18, 12);(19, 12);(20, 12)
0xc000001e000003e00000fe00001e60000386000070e0001e0c000380c0003ffc0001fff000001c000001800000180000018000003800000380000038000003000000100000000000000000	4	4	(8, 19);(9, 19)
0x600000061f00003ffc0003e0c000e004000400c000001c000003800000e000001c000003800000f800003fc000030c000001c000003800000f00001fc00000fc0000078000000000000000000000000	3	3	(19, 11)
0x7000001f80000618000003800000f8000007800000780000078000007c00000ce00001c600001830000383000030180007018000e030000e070000e3e00007f800001c0000000000000000000000000000000	8	8	(17, 10);(18, 10);(16, 11)
0x6000000f000000fc000007c000007e000007f000003f000003f000001f800000fc00000fc00000fc00000fc00000fe00001fe00000fe00000fe000007e000007c000003c000000000000000000000000000000	1	1	(4, 9);(17, 11);(23, 11);(24, 11);(8, 13);(9, 13);(18, 13);(19, 13);(8, 14);(17, 14);(18, 14);(19, 14);(20, 14);(18, 15);(12, 17);(12, 18);(12, 19);(17, 19);(5, 20);(6, 20);(7, 20);(9, 20);(10, 20);(11, 20);(12, 20);(5, 21);(6, 21);(7, 21);(8, 21);(9, 21);(10, 21);(11, 21);(12, 21);(5, 22);(6, 22);(7, 22);(8, 22);(9, 22);(10, 22);(11, 22);(5, 23);(6, 23);(7, 23);(8, 23);(9, 23);(10, 23);(11, 23);(12, 23);(8, 24);(9, 24);(11, 24);(9, 25)
0x1e00000ff80001f1c000300c000200c000003800003f00000fe00000ff8000003c000000e0000006000000600000030000003000000300000070000006000000e000003c000000000	3	3	(11, 7)
0xe000800ffc18007fc70003f8f0003cbc0000efc00007f800007f800007e00001fe00003fe00007f60000fe30001f830001f030001e070001cff0000fff00007ff000008000000000000000000000000	8	8	(11, 13);(12, 13)
0x1e000007c00000fe00003fe0001ffe0001f9e0001f3e000183e000003e000003c000007c000007c00000580000078000007800000fcc00007fc00007e800006e000002c00000000000000000000000	2	2	(15, 9);(15, 10);(16, 10);(15, 11);(15, 12);(20, 12);(18, 13);(21, 16);(17, 17);(21, 17);(22, 17);(17, 18);(18, 18);(21, 18);(17, 19);(18, 19);(21, 19);(17, 20);(18, 20);(21, 20);(18, 21);(21, 21);(18, 22);(18, 23);(18, 24)
0x1f0000071800000080000008000000800000080000010000001000000300000030000002000000200000060000004000000c000000e000000e000000c000000c000000800000000000000000	7	7	(18, 13)
0xfe00003f000007e000000e000001e000001c000001c00000380000038000001f000000fe000000f0000003800000f800001f000003e00000fc0001ff00000fc00000780000000000000000000000000000000	5	5	(11, 15);(10, 17);(11, 17);(10, 18);(11, 18);(10, 19);(11, 19);(12, 19);(10, 20);(11, 20);(10, 21);(11, 21)
0xc000011c0000124000016400001440000184000030c000030c000020c00000080000008000001800000180000010000001000000300000030000002000000200000020000000000	7	7	(15, 11);(16, 11);(12, 12);(14, 12);(15, 12);(16, 12);(17, 12);(10, 13);(13, 13);(14, 13);(15, 13);(16, 13);(17, 13);(10, 14);(13, 14);(14, 14);(15, 14);(16, 14);(17, 14);(13, 15);(14, 15);(15, 15);(18, 15);(17, 16);(9, 17);(10, 17);(11, 17)
0x3000000b800001f800003b800003bc00003bc000073c000071c0000e3f8000fff8000ff800007f80000038000007800000780000078000007800000700000070000001000000000000000000000000	4	9	(13, 2);(14, 2);(15, 2);(3, 3);(13, 3);(15, 3);(16, 3);(2, 4);(3, 4);(4, 4);(5, 4);(15, 4);(16, 4);(2, 5);(3, 5);(4, 5);(5, 5);(6, 5);(13, 5);(14, 5);(15, 5);(16, 5);(1, 6);(2, 6);(3, 6);(4, 6);(5, 6);(6, 6);(7, 6);(13, 6);(14, 6);(15, 6);(16, 6);(2, 7);(3, 7);(4, 7);(5, 7);(6, 7);(7, 7);(13, 7);(14, 7);(15, 7);(16, 7);(2, 8);(3, 8);(4, 8);(5, 8);(6, 8);(2, 9);(3, 9);(4, 9);(5, 9);(3, 10);(4, 10);(5, 10);(6, 10);(8, 10);(9, 10);(3, 11);(4, 11);(5, 11);(6, 11);(7, 11);(8, 11);(13, 11);(18, 11);(6, 12);(7, 12);(8, 12);(11, 12);(12, 12);(13, 12);(17, 12);(18, 12);(19, 12);(3, 13);(4, 13);(5, 13);(7, 13);(11, 13);(12, 13);(17, 13);(22, 13);(23, 13);(3, 14);(4, 14);(6, 14);(7, 14);(8, 14);(9, 14);(10, 14);(13, 14);(21, 14);(22, 14);(23, 14);(3, 15);(4, 15);(7, 15);(8, 15);(9, 15);(20, 15);(21, 15);(22, 15);(23, 15);(24, 15);(3, 16);(4, 16);(5, 16);(7, 16);(8, 16);(9, 16);(10, 16);(16, 16);(17, 16);(18, 16);(22, 16);(3, 17);(4, 17);(5, 17);(6, 17);(9, 17);(10, 17);(11, 17);(19, 17);(20, 17);(21, 17);(22, 17);(23, 17);(4, 18);(5, 18);(6, 18);(7, 18);(19, 18);(20, 18);(21, 18);(22, 18);(23, 18);(6, 19);(15, 19);(19, 19);(20, 19);(21, 19);(22, 19);(6, 20);(7, 20);(15, 20);(20, 20);(21, 20);(6, 21);(13, 21);(14, 21);(15, 21);(13, 22);(14, 22);(15, 22);(16, 22);(13, 23);(14, 23);(15, 23);(16, 23);(8, 24);(9, 24);(13, 24);(14, 24);(15, 24);(8, 25);(9, 25)
0x58000007c000007e00000fe00001ff80001c1f0003807e003800f8038007c038003c01c007c00ffff0003ff8000008000000000000000000000000000000000000000000000000000	0	0	(13, 7);(14, 7);(15, 7);(13, 8);(8, 13);(10, 13);(9, 14);(10, 14);(12, 14);(10, 15)
0xff80000ff80000c000000c000000e000000600000060000007000000307800031fc0003fce0001f070001c03000380300010030004007000400e000e01e000fff80007ff000000000000000000000000000000	5	8	(19, 9)
0x1fc00003ff0000f038001c01800180380030038000007000001c0000038000007000000e000001c00800380080070030006006000c03c000c078000c1e0000ff800007e000000000000000000000000	2	2	(11, 6);(11, 7);(12, 7);(10, 8);(11, 8);(12, 8);(10, 9);(11, 9);(12, 9);(13, 9);(19, 9);(7, 10);(10, 10);(11, 10);(12, 10);(13, 10);(17, 10);(18, 10);(19, 10);(7, 11);(9, 11);(10, 11);(11, 11);(12, 11);(13, 11);(16, 11);(17, 11);(18, 11);(9, 12);(10, 12);(11, 12);(12, 12);(13, 12);(16, 12);(17, 12);(9, 13);(10, 13);(11, 13);(12, 13);(13, 13);(10, 14);(11, 14);(12, 14);(16, 17);(23, 17);(16, 18);(17, 19);(18, 19);(21, 19);(11, 20);(17, 20);(21, 20);(9, 21);(10, 21);(20, 21);(9, 22);(10, 22);(9, 23);(10, 23);(10, 24)
0x3000000f000001f800001fc00003860000706000070e000071c00007f800007fc00007ff8000e01c000c00c000c00c000c00c0006018000603800060700003bc00001f8000000000000000000000000000000	8	8	(17, 8);(15, 9);(16, 9);(17, 9);(18, 9);(15, 10);(19, 11)
0xf000001f800001fc00003fc000079c0000f3c0001ff80001ff00001fe00003fc00007fe0000e0f0000c030001c030003c0300038070003c0e0001dfc0000ffc00007c0000000000000000000000000000000	8	8	(11, 0);(12, 0);(13, 0);(14, 0);(15, 0);(16, 0);(18, 0);(20, 0);(21, 0);(5, 1);(12, 1);(13, 1);(14, 1);(15, 1);(16, 1);(17, 1);(18, 1);(19, 1);(20, 1);(21, 1);(22, 1);(23, 1);(11, 2);(12, 2);(13, 2);(14, 2);(15, 2);(16, 2);(17, 2);(18, 2);(19, 2);(20, 2);(21, 2);(22, 2);(23, 2);(24, 2);(12, 3);(13, 3);(14, 3);(15, 3);(16, 3);(17, 3);(18, 3);(19, 3);(20, 3);(21, 3);(22, 3);(23, 3);(24, 3);(2, 4);(3, 4);(4, 4);(12, 4);(13, 4);(14, 4);(15, 4);(16, 4);(17, 4);(18, 4);(19, 4);(20, 4);(21, 4);(22, 4);(23, 4);(24, 4);(3, 5);(4, 5);(13, 5);(14, 5);(15, 5);(16, 5);(17, 5);(19, 5);(20, 5);(21, 5);(22, 5);(23, 5);(24, 5);(2, 6);(3, 6);(4, 6);(5, 6);(6, 6);(9, 6);(13, 6);(14, 6);(15, 6);(16, 6);(18, 6);(19, 6);(21, 6);(22, 6);(23, 6);(24, 6);(2, 7);(3, 7);(4, 7);(5, 7);(6, 7);(7, 7);(14, 7);(15, 7);(16, 7);(17, 7);(18, 7);(19, 7);(22, 7);(23, 7);(24, 7);(25, 7);(26, 7);(2, 8);(3, 8);(4, 8);(5, 8);(6, 8);(7, 8);(9, 8);(14, 8);(16, 8);(17, 8);(18, 8);(19, 8);(23, 8);(24, 8);(26, 8);(2, 9);(3, 9);(4, 9);(5, 9);(6, 9);(7, 9);(8, 9);(9, 9);(14, 9);(15, 9);(16, 9);(17, 9);(18, 9);(20, 9);(22, 9);(25, 9);(26, 9);(2, 10);(3, 10);(4, 10);(5, 10);(6, 10);(7, 10);(8, 10);(9, 10);(14, 10);(15, 10);(21, 10);(25, 10);(3, 11);(4, 11);(5, 11);(6, 11);(7, 11);(8, 11);(10, 11);(11, 11);(12, 11);(14, 11);(3, 12);(4, 12);(5, 12);(6, 12);(7, 12);(9, 12);(10, 12);(11, 12);(13, 12);(14, 12);(24, 12);(25, 12);(2, 13);(3, 13);(4, 13);(5, 13);(6, 13);(8, 13);(9, 13);(10, 13);(13, 13);(14, 13);(25, 13);(3, 14);(4, 14);(5, 14);(7, 14);(8, 14);(3, 15);(4, 15);(6, 15);(20, 15);(26, 15);(3, 16);(9, 16);(15, 16);(26, 16);(27, 16);(3, 17);(8, 17);(9, 17);(10, 17);(11, 17);(15, 17);(18, 17);(26, 17);(27, 17);(8, 18);(10, 18);(11, 18);(12, 18);(13, 18);(27, 18);(3, 19);(9, 19);(10, 19);(11, 19);(12, 19);(13, 19);(14, 19);(2, 20);(3, 20);(4, 20);(6, 20);(7, 20);(8, 20);(9, 20);(10, 20);(12, 20);(13, 20);(14, 20);(15, 20);(16, 20);(17, 20);(18, 20);(19, 20);(6, 21);(7, 21);(8, 21);(9, 21);(11, 21);(12, 21);(13, 21);(14, 21);(15, 21);(16, 21);(17, 21);(18, 21);(20, 21);(12, 22);(13, 22);(14, 22);(15, 22);(16, 22);(17, 22);(18, 22);(19, 22);(12, 23);(13, 23);(14, 23);(15, 23);(16, 23);(21, 23);(22, 23);(23, 23);(12, 24);(13, 24);(14, 24);(15, 24);(21, 24);(22, 24);(23, 24);(12, 25);(13, 25);(14, 25);(15, 25);(16, 25);(22, 25);(23, 25);(12, 26);(13, 26);(14, 26);(15, 26);(16, 26);(12, 27);(13, 27);(14, 27);(15, 27);(16, 27)
0x6000000c000001810000403000000700008070001806000100c0000018000081800000d000003100000030000002000000600000060000004000000c000000c000000c00000000000000000	9	9	(5, 7);(6, 7);(7, 7);(6, 8);(11, 8);(5, 9);(6, 9);(9, 9);(20, 9);(6, 10);(7, 10);(17, 10);(19, 10);(7, 11);(17, 11)
0x1e000017e0000ffe0001f8c000001c000001c000001800000300000030000007000001ff0000fff00007e000000e000000e000000e000000e000000f000000f0000006000000000000000000000000	7	7	(18, 5);(19, 5);(18, 6);(19, 6);(18, 7);(19, 7);(20, 7);(18, 8);(19, 8);(20, 8);(18, 9);(19, 9);(20, 9);(19, 10);(19, 14);(23, 16);(23, 17);(16, 20);(16, 21);(16, 22);(17, 22)
0x7800000fc00000ce0000187000018300003018000301800070080006008000200800020180001f180003fb800031f000070e0000e3e0000c7e0000fe30000fc30000203000000000000000000000000000000	2	8	(15, 5);(15, 7)
0x3c00001ff00007ff8000fc38001f018003c01c003800c003000c003000c000000c000001c00003f80000ff80001ff80003c7000078f000071e00007fc00003f800001e000000000000000000000000	2	2	(14, 6);(15, 6);(14, 7);(15, 7);(16, 7);(12, 8);(13, 8);(14, 8);(15, 8);(16, 8);(15, 9);(16, 9);(12, 11);(17, 14);(17, 16);(12, 20);(13, 20)
0x3ff80007ff80007ffc0007ff80007bf800078100007f800003fe00003ff00003ff80003ff8000187c000003c000001c003c01c003f87c001fff8000fff80007fe00000fc00000000000000000000000	5	5	(7, 8);(9, 10);(10, 10);(11, 10);(9, 11);(11, 17);(11, 18);(11, 19);(12, 19);(11, 20);(12, 20);(11, 23)
0xff0000f808003801800e0010018002003000000200000061c00006038000300c0001c0600007fe0000020000000000000000000000000000000000000000000000000000	6	5	(3, 10);(4, 10);(3, 11);(4, 11);(3, 12);(4, 12);(3, 13);(4, 13);(5, 13);(4, 14);(5, 14);(16, 14);(4, 15);(5, 15);(6, 15);(16, 15);(5, 16);(5, 17);(11, 17);(11, 19);(12, 19);(11, 20);(12, 20);(8, 21);(11, 21);(12, 21);(13, 21);(8, 22);(11, 22);(13, 22);(12, 23)
0x13800001fff8001c3f8000c1c0000c180000c180000e30000063000000300000030000002000001f000001ff00000378000020800003000000180000018000001c000000c000000000	7	8	(11, 8);(12, 8)
0x1f800003fc00003fc00007cc000070000007000000700000070000007f000007f800007fe00003fe00003de00003cf00003e780000ff80000ff800007f800001f0000006000000000000000000000000000000	6	6	(10, 20);(10, 21);(11, 21);(10, 22)
0x1f000007ff8003fffc007801e00f800700f800300e0007007000e003e07c000fff80007fe0000000000000000000000000000000000000000000000000000000000	0	0	(21, 3);(22, 3);(21, 4);(22, 4);(23, 4);(12, 5);(14, 5);(15, 5);(16, 5);(21, 5);(22, 5);(10, 6);(12, 6);(13, 6);(14, 6);(15, 6);(16, 6);(21, 6);(22, 6);(10, 7);(12, 7);(13, 7);(14, 7);(16, 7);(21, 7);(22, 7);(23, 7);(8, 8);(10, 8);(12, 8);(13, 8);(14, 8);(8, 9);(9, 9);(23, 9);(24, 9);(8, 10);(9, 10);(12, 10);(24, 10);(8, 11);(8, 12);(12, 12);(19, 12);(9, 13);(19, 13);(9, 14);(12, 14);(17, 14);(19, 14);(21, 14);(22, 14);(4, 15);(12, 15);(16, 15);(17, 15);(19, 15);(21, 15);(22, 15);(23, 15);(12, 16);(16, 16);(17, 16);(18, 16);(19, 16);(21, 16);(22, 16);(23, 16);(24, 16);(12, 17);(16, 17);(18, 17);(19, 17);(21, 17);(22, 17);(23, 17);(24, 17);(12, 18);(18, 18);(19, 18);(21, 18);(22, 18);(23, 18);(24, 18);(17, 19);(18, 19);(21, 19);(22, 19);(23, 19);(24, 19);(16, 20);(17, 20);(21, 20);(22, 20);(23, 20);(24, 20);(10, 21);(13, 21);(15, 21);(16, 21);(17, 21);(21, 21);(22, 21);(23, 21);(24, 21);(9, 22);(10, 22);(11, 22);(12, 22);(13, 22);(14, 22);(15, 22);(16, 22);(21, 22);(22, 22);(8, 23);(9, 23);(10, 23);(13, 23);(14, 23);(15, 23);(20, 23);(21, 23);(22, 23);(23, 23);(8, 24);(20, 24);(21, 24);(22, 24);(23, 24);(21, 25);(22, 25)
0x3c000007c00000c600000c700000ce00000780000070000006000001b00000330000021800006180000c1800008080000808000080c0000e0c000070c00003f800000f8000000000000000000000000000000	8	3	(17, 9);(18, 9);(17, 10)
0x300000018000000c00000080000008000000800000180000018000001000000300000060000004000800cfffe00fff00000000000000000000000000000000000000000000000000000000000000000	2	2	(12, 3);(10, 4);(11, 4);(12, 4);(13, 4);(9, 5);(10, 5);(11, 5);(12, 5);(13, 5);(14, 5);(15, 5);(9, 6);(10, 6);(11, 6);(12, 6);(13, 6);(14, 6);(15, 6);(16, 6);(17, 6);(9, 7);(10, 7);(11, 7);(12, 7);(13, 7);(9, 8);(10, 8);(12, 8);(13, 8);(18, 8);(9, 9);(10, 9);(13, 9);(5, 10);(9, 10);(10, 10);(11, 10);(13, 10);(17, 10);(5, 11);(6, 11);(8, 11);(9, 11);(10, 11);(15, 11);(16, 11);(17, 11);(6, 12);(7, 12);(13, 12);(7, 13);(8, 13);(9, 13);(10, 13);(11, 13);(12, 14);(13, 14);(11, 15);(12, 15);(13, 15);(14, 15);(21, 15);(11, 16);(12, 16);(13, 16);(14, 16);(15, 16);(18, 16);(21, 16);(22, 16);(23, 16);(11, 17);(12, 17);(13, 17);(14, 17);(15, 17);(18, 17);(21, 17);(22, 17);(23, 17);(11, 18);(12, 18);(13, 18);(14, 18);(15, 18);(17, 18);(18, 18);(21, 18);(22, 18);(23, 18);(12, 19);(13, 19);(14, 19);(15, 19);(16, 19);(17, 19);(18, 19);(21, 19);(22, 19);(23, 19);(12, 20);(13, 20);(14, 20);(15, 20);(16, 20);(17, 20);(21, 20);(22, 20);(23, 20);(12, 21);(13, 21);(14, 21);(15, 21);(17, 21);(22, 21);(23, 21);(13, 22);(14, 22);(15, 22);(17, 22);(13, 23);(14, 23);(15, 23);(13, 24);(14, 24);(15, 24);(14, 25)
